Time,OD
0:00:00,0.12
0:10:00,0.119
0:20:00,0.12
0:30:00,0.121
0:40:00,0.122
0:50:00,0.124
1:00:00,0.126
1:10:00,0.129
1:20:00,0.134
1:30:00,0.14
1:40:00,0.149
1:50:00,0.162
2:00:00,0.18
2:10:00,0.206
2:20:00,0.229
2:30:00,0.256
2:40:00,0.295
2:50:00,0.33
3:00:00,0.366
3:10:00,0.415
3:20:00,0.463
3:30:00,0.51
3:40:00,0.553
3:50:00,0.571
4:00:00,0.586
4:10:00,0.599
4:20:00,0.612
4:30:00,0.624
4:40:00,0.635
4:50:00,0.644
5:00:00,0.651
5:10:00,0.657
5:20:00,0.662
5:30:00,0.668
5:40:00,0.672
5:50:00,0.676
6:00:00,0.68
6:10:00,0.683
6:20:00,0.686
6:30:00,0.689
6:40:00,0.691
6:50:00,0.694
7:00:00,0.696
7:10:00,0.697
7:20:00,0.7
7:30:00,0.701
7:40:00,0.703
7:50:00,0.705
8:00:00,0.706
8:10:00,0.707
8:20:00,0.709
8:30:00,0.71
8:40:00,0.712
8:50:00,0.714
9:00:00,0.715
9:10:00,0.716
9:20:00,0.717
9:30:00,0.718
9:40:00,0.72
9:50:00,0.721
10:00:00,0.723
10:10:00,0.724
10:20:00,0.725
10:30:00,0.726
10:40:00,0.728
10:50:00,0.729
11:00:00,0.731
11:10:00,0.731
11:20:00,0.732
11:30:00,0.734
11:40:00,0.735
11:50:00,0.736
12:00:00,0.737
12:10:00,0.738
12:20:00,0.739
12:30:00,0.74
12:40:00,0.741
12:50:00,0.742
13:00:00,0.743
13:10:00,0.744
13:20:00,0.745
13:30:00,0.746
13:40:00,0.747
13:50:00,0.748
14:00:00,0.749
14:10:00,0.749
14:20:00,0.75
14:30:00,0.752
14:40:00,0.752
14:50:00,0.754
15:00:00,0.754
15:10:00,0.755
15:20:00,0.755
15:30:00,0.757
15:40:00,0.757
15:50:00,0.758
16:00:00,0.759
A,2.9
B,-0.1
C,0.1
D,1.9
E,4.2
F,4.5
G,4.4
H,5
