mz,intensity
1.000000000000000000e+02,6.448404730394699524e-02
1.003001000333444495e+02,5.920679826757555692e-02
1.006002000666888989e+02,7.453613425178848284e-02
1.009003001000333484e+02,6.370380917652329611e-02
1.012004001333777978e+02,5.076989170177431676e-02
1.015005001667222473e+02,6.859200623246070050e-02
1.018006002000666825e+02,8.731629257701672975e-02
1.021007002334111320e+02,8.005346501713002383e-02
1.024008002667555814e+02,4.691206966324397432e-02
1.027009003001000309e+02,3.555265516793321146e-02
1.030010003334444804e+02,4.826929420694271028e-02
1.033011003667889298e+02,6.143439768197909989e-02
1.036012004001333793e+02,1.397976015126547317e-02
1.039013004334778287e+02,5.597645000282559097e-02
1.042014004668222782e+02,3.530538927224340096e-02
1.045015005001667276e+02,4.544901060022382006e-02
1.048016005335111629e+02,4.907935933045187715e-02
1.051017005668556124e+02,5.350815627697589477e-02
1.054018006002000618e+02,6.793583701076706671e-02
1.057019006335445113e+02,8.042201438309382056e-02
1.060020006668889607e+02,5.686903567895410655e-02
1.063021007002334102e+02,8.663644895599567630e-02
1.066022007335778596e+02,4.587021280685095459e-02
1.069023007669223091e+02,6.607071802476792433e-02
1.072024008002667586e+02,7.697582173640592218e-02
1.075025008336112080e+02,6.065206422122489116e-02
1.078026008669556575e+02,4.376673969999964747e-02
1.081027009003001069e+02,4.006663744545330835e-02
1.084028009336445422e+02,4.921057023470830349e-02
1.087029009669889916e+02,6.263246014712078868e-02
1.090030010003334411e+02,3.789920177368768378e-02
1.093031010336778905e+02,5.377060626176537184e-02
1.096032010670223400e+02,5.463172216019480248e-02
1.099033011003667895e+02,6.849479869778626884e-02
1.102034011337112389e+02,6.183230193260107893e-02
1.105035011670556884e+02,6.450738178533803324e-02
1.108036012004001378e+02,4.418374701662806936e-02
1.111037012337445731e+02,5.452802946815817758e-02
1.114038012670890225e+02,7.265939369799839787e-02
1.117039013004334720e+02,8.670769647741982666e-02
1.120040013337779214e+02,3.151656725447866958e-02
1.123041013671223709e+02,8.683478070973943419e-02
1.126042014004668204e+02,8.333187197257962975e-02
1.129043014338112698e+02,7.189828874600531772e-02
1.132044014671557193e+02,6.141851753656592944e-02
1.135045015005001687e+02,4.970794782985773347e-02
1.138046015338446182e+02,8.500348002367821842e-02
1.141047015671890676e+02,9.490456602412683518e-02
1.144048016005335171e+02,9.158810963107608116e-02
1.147049016338779523e+02,8.171318736816345074e-02
1.150050016672224018e+02,6.241411554973395892e-02
1.153051017005668513e+02,3.095523351675017951e-02
1.156052017339113007e+02,5.488733404468000565e-02
1.159053017672557502e+02,6.796044584446157832e-02
1.162054018006001996e+02,2.891797638304452467e-02
1.165055018339446491e+02,6.244164165941216982e-02
1.168056018672890985e+02,6.299021365082065060e-02
1.171057019006335480e+02,6.816728626571846861e-02
1.174058019339779833e+02,3.041732546341469751e-02
1.177059019673224327e+02,4.071865560987256161e-02
1.180060020006668822e+02,4.507680187285496853e-02
1.183061020340113316e+02,3.026205422379671037e-02
1.186062020673557811e+02,8.829782958141366156e-02
1.189063021007002305e+02,4.344443953469106362e-02
1.192064021340446800e+02,5.979403948289314236e-02
1.195065021673891295e+02,4.789500783071703321e-02
1.198066022007335789e+02,8.458755556020011723e-02
1.201067022340780284e+02,7.917679271803204633e-02
1.204068022674224778e+02,6.528794453347154525e-02
1.207069023007669273e+02,8.401866041798211615e-03
1.210070023341113767e+02,5.336367557201029260e-02
1.213071023674558120e+02,6.584772157372337231e-02
1.216072024008002614e+02,7.210400857805060459e-02
1.219073024341447109e+02,3.951730150092748473e-02
1.222074024674891604e+02,8.816622943201442297e-02
1.225075025008336098e+02,2.516784538362698553e-02
1.228076025341780593e+02,3.819627823115848836e-02
1.231077025675225087e+02,6.997813200048180748e-02
1.234078026008669582e+02,5.210844619917845422e-02
1.237079026342113934e+02,9.102536382439077589e-02
1.240080026675558429e+02,5.459799920907293380e-02
1.243081027009002923e+02,3.801379017812053090e-02
1.246082027342447418e+02,4.297642035615486383e-02
1.249083027675891913e+02,2.855475688502569220e-02
1.252084028009336407e+02,2.467404342774857581e-02
1.255085028342780902e+02,6.268583127530558130e-02
1.258086028676225396e+02,6.155086804468412609e-02
1.261087029009669891e+02,7.566868259964791565e-02
1.264088029343114385e+02,3.453535732358909566e-02
1.267089029676558880e+02,8.325961010413709951e-02
1.270090030010003375e+02,4.357972421784891276e-02
1.273091030343447869e+02,8.066569912406865162e-02
1.276092030676892364e+02,4.037191807105841579e-02
1.279093031010336716e+02,3.416812536715391202e-02
1.282094031343781353e+02,5.372371801051358670e-02
1.285095031677225847e+02,6.920736323886308994e-02
1.288096032010670342e+02,5.164886406141722119e-02
1.291097032344114837e+02,3.656855547599002082e-02
1.294098032677559047e+02,2.130529397120762419e-02
1.297099033011003542e+02,1.994994552339044228e-02
1.300100033344448036e+02,5.788478206879837246e-02
1.303101033677892531e+02,6.747628306659481101e-02
1.306102034011337025e+02,4.424715835054614937e-02
1.309103034344781520e+02,2.589691969848814668e-02
1.312104034678226014e+02,6.469637381074762328e-02
1.315105035011670509e+02,2.147912136366309302e-02
1.318106035345115004e+02,3.267727182116869633e-02
1.321107035678559498e+02,5.921079657345920677e-02
1.324108036012003993e+02,1.639602468817787095e-03
1.327109036345448487e+02,5.422199331791452415e-02
1.330110036678892982e+02,3.471415737394296236e-02
1.333111037012337476e+02,4.838514640603318318e-02
1.336112037345781971e+02,4.453831420316330808e-02
1.339113037679226466e+02,4.994764710223974918e-02
1.342114038012670960e+02,5.964204288537119925e-02
1.345115038346115170e+02,3.044469281966191709e-02
1.348116038679559665e+02,7.388545895379711181e-02
1.351117039013004160e+02,5.984168017307144039e-02
1.354118039346448654e+02,6.204870696210115777e-02
1.357119039679893149e+02,6.832585429944382227e-02
1.360120040013337643e+02,6.063513990041165952e-02
1.363121040346782138e+02,6.162003786768562030e-02
1.366122040680226633e+02,4.610572141819371805e-02
1.369123041013671127e+02,1.591406142815062971e-02
1.372124041347115622e+02,4.160463811205753620e-02
1.375125041680560116e+02,2.877156949963049354e-02
1.378126042014004611e+02,1.556367773596683754e-02
1.381127042347449105e+02,4.904455640912185749e-02
1.384128042680893600e+02,3.236184372375461304e-02
1.387129043014338095e+02,2.299442902395983090e-02
1.390130043347782589e+02,2.258854193239763150e-02
1.393131043681227084e+02,4.867531964002031614e-02
1.396132044014671578e+02,5.033920827309368295e-02
1.399133044348116073e+02,6.947409460895315192e-02
1.402134044681560567e+02,4.260622037374983684e-02
1.405135045015005062e+02,6.358127797029083927e-02
1.408136045348449557e+02,7.065015675643315785e-02
1.411137045681894051e+02,6.546896663104143088e-02
1.414138046015338546e+02,0.000000000000000000e+00
1.417139046348783040e+02,6.676219574088945730e-02
1.420140046682227535e+02,4.884301088253295564e-02
1.423141047015672029e+02,5.038857458466564077e-02
1.426142047349116240e+02,4.920068787908760816e-02
1.429143047682560734e+02,4.929473762507086132e-02
1.432144048016005229e+02,4.789180430427506657e-02
1.435145048349449723e+02,3.418965745156662961e-02
1.438146048682894218e+02,3.200107253812700669e-03
1.441147049016338713e+02,3.891990174305320210e-02
1.444148049349783207e+02,2.488944346874960578e-02
1.447149049683227702e+02,6.243374143498837958e-02
1.450150050016672196e+02,3.492205193688236592e-02
1.453151050350116691e+02,4.223432167031522522e-02
1.456152050683561185e+02,2.344065900804427269e-02
1.459153051017005680e+02,3.008883084701176325e-02
1.462154051350450175e+02,3.993966697028142332e-02
1.465155051683894669e+02,1.033242580302146801e-02
1.468156052017339164e+02,4.592379368348977614e-02
1.471157052350783658e+02,3.765937617120368452e-02
1.474158052684227869e+02,1.593773019213310868e-02
1.477159053017672363e+02,0.000000000000000000e+00
1.480160053351116858e+02,4.965753364531273056e-02
1.483161053684561352e+02,3.331788420124040528e-02
1.486162054018005847e+02,2.854307471487361331e-02
1.489163054351450342e+02,3.429443947835574685e-02
1.492164054684894836e+02,7.522195816218495146e-02
1.495165055018339331e+02,3.777195244661280676e-02
1.498166055351783825e+02,4.037652179085101517e-02
1.501167055685228320e+02,8.779483031226525958e-03
1.504168056018672814e+02,7.134517177026122869e-02
1.507169056352117309e+02,5.662625315318234320e-02
1.510170056685561804e+02,5.949395374955489257e-02
1.513171057019006298e+02,3.898814066693951502e-02
1.516172057352450793e+02,5.624788494712713860e-02
1.519173057685895287e+02,4.521450924379322167e-02
1.522174058019339782e+02,4.994082442407215411e-02
1.525175058352784276e+02,3.451534764914048620e-02
1.528176058686228771e+02,7.964312064976348388e-03
1.531177059019673266e+02,5.790272904173554558e-02
1.534178059353117760e+02,0.000000000000000000e+00
1.537179059686562255e+02,3.229619750797126793e-02
1.540180060020006749e+02,3.289021193883992500e-02
1.543181060353451244e+02,1.600992248365521592e-02
1.546182060686895738e+02,4.901679084005250431e-02
1.549183061020340233e+02,3.263568245761277326e-02
