EggSize,EggLength
500.2514612,494.017
484.0913807,489.845
481.3980339,485.751
486.7847274,494.73
501.5981346,505.989
493.5180943,505.522
500.2514612,490.555
496.2114411,512.939
485.4380541,485.382
461.1979333,464.501
488.1314008,487.453
504.2914813,511.938
488.1314008,477.204
481.3980339,478.938
471.9713203,480.203
489.4780742,491.279
494.8647677,504.852
498.9047878,497.381
501.5981346,510.221
477.3580138,478.539
488.1314008,499.844
497.5581145,488.375
494.8647677,506.323
485.4380541,476.358
497.5581145,517.221
520.4515619,518.245
506.9848281,515.968
529.8782755,522.363
516.4115417,502.278
515.0648684,523.192
525.8382554,515.821
509.6781749,500.411
515.0648684,496.841
517.7582151,498.696
548.7317028,533.536
505.6381547,499.891
521.7982353,525.486
516.4115417,526.267
544.6916827,530.892
547.3850294,531.833
505.6381547,501.849
506.9848281,497.37
513.718195,503.52
519.1048885,502.899
536.6116424,521.932
521.7982353,511.257
524.491582,521.698
536.6116424,524.413
508.3315015,495.104
535.264969,518.895
513.718195,507.812
552.7717229,538.856
505.6381547,515.873
546.0383561,546.996
511.0248482,513.396
525.8382554,517.282
524.491582,519.632
523.1449086,507.355
520.4515619,515.149
521.7982353,523.553
516.4115417,505.737
515.0648684,498.321
508.3315015,521.782
504.2914813,509.184
511.0248482,502.214
564.8917833,547.67
547.3850294,530.042
537.9583158,522.79
532.5716223,514.301
532.5716223,514.951
535.264969,515.41
554.1183963,535.907
541.9983359,523.7
535.264969,551.947
