time,magnitude
1.609464204000000000e+09,3.100000000000000089e+00
1.609478766000000000e+09,3.899999999999999911e+00
1.609508549000000000e+09,3.399999999999999911e+00
1.609589404000000000e+09,3.290000000000000036e+00
1.609598196000000000e+09,3.089999999999999858e+00
1.609598543000000000e+09,4.320000000000000284e+00
1.609624303000000000e+09,3.399999999999999911e+00
1.609645869000000000e+09,3.020000000000000018e+00
1.609651319000000000e+09,3.359999999999999876e+00
1.609652127000000000e+09,4.200000000000000178e+00
1.609660690000000000e+09,3.200000000000000178e+00
1.609783494000000000e+09,3.069999999999999840e+00
1.609783499000000000e+09,3.950000000000000178e+00
1.609783530000000000e+09,3.450000000000000178e+00
1.609784186000000000e+09,3.410000000000000142e+00
1.609882567000000000e+09,3.000000000000000000e+00
1.609947512000000000e+09,3.160000000000000142e+00
1.609967040000000000e+09,3.370000000000000107e+00
1.609995333000000000e+09,3.100000000000000089e+00
1.610055936000000000e+09,3.299999999999999822e+00
1.610163213000000000e+09,4.599999999999999645e+00
1.610205925000000000e+09,3.299999999999999822e+00
1.610266863000000000e+09,3.339999999999999858e+00
1.610270437000000000e+09,4.299999999999999822e+00
1.610300872000000000e+09,3.899999999999999911e+00
1.610421908000000000e+09,3.229999999999999982e+00
1.610457726000000000e+09,4.339999999999999858e+00
1.610481718000000000e+09,3.000000000000000000e+00
1.610555560000000000e+09,3.520000000000000018e+00
1.610651890000000000e+09,3.629999999999999893e+00
1.610658146000000000e+09,3.100000000000000089e+00
1.610697819000000000e+09,3.799999999999999822e+00
1.610725545000000000e+09,3.899999999999999911e+00
1.610741307000000000e+09,3.399999999999999911e+00
1.610748667000000000e+09,3.899999999999999911e+00
1.610779920000000000e+09,3.000000000000000000e+00
1.610781362000000000e+09,3.299999999999999822e+00
1.610851748000000000e+09,4.019999999999999574e+00
1.610853289000000000e+09,3.750000000000000000e+00
1.610854232000000000e+09,3.359999999999999876e+00
1.610856087000000000e+09,4.200000000000000178e+00
1.610864718000000000e+09,4.389999999999999680e+00
1.610946053000000000e+09,3.500000000000000000e+00
1.610954986000000000e+09,3.270000000000000018e+00
1.611003523000000000e+09,4.200000000000000178e+00
1.611003564000000000e+09,3.000000000000000000e+00
1.611130921000000000e+09,3.299999999999999822e+00
1.611154783000000000e+09,4.700000000000000178e+00
1.611160318000000000e+09,3.520000000000000018e+00
1.611176537000000000e+09,3.500000000000000000e+00
1.611192144000000000e+09,3.540000000000000036e+00
1.611192235000000000e+09,3.290000000000000036e+00
1.611213476000000000e+09,3.000000000000000000e+00
1.611221800000000000e+09,3.000000000000000000e+00
1.611232185000000000e+09,3.000000000000000000e+00
1.611236167000000000e+09,3.160000000000000142e+00
1.611250165000000000e+09,3.000000000000000000e+00
1.611276491000000000e+09,3.009999999999999787e+00
1.611321329000000000e+09,3.000000000000000000e+00
1.611461534000000000e+09,3.100000000000000089e+00
1.611469406000000000e+09,4.400000000000000355e+00
1.611607948000000000e+09,3.009999999999999787e+00
1.611647327000000000e+09,3.140000000000000124e+00
1.611671436000000000e+09,3.200000000000000178e+00
1.611764717000000000e+09,4.599999999999999645e+00
1.611766398000000000e+09,3.000000000000000000e+00
1.611778134000000000e+09,3.200000000000000178e+00
1.611887104000000000e+09,3.200000000000000178e+00
1.611994629000000000e+09,3.100000000000000089e+00
1.611997829000000000e+09,3.399999999999999911e+00
1.612036898000000000e+09,3.200000000000000178e+00
1.612119306000000000e+09,3.000000000000000000e+00
1.612141135000000000e+09,3.100000000000000089e+00
1.612153128000000000e+09,3.529999999999999805e+00
1.612193249000000000e+09,3.399999999999999911e+00
1.612235003000000000e+09,3.100000000000000089e+00
1.612341745000000000e+09,4.900000000000000355e+00
1.612344216000000000e+09,3.740000000000000213e+00
1.612406195000000000e+09,3.000000000000000000e+00
1.612508740000000000e+09,3.500000000000000000e+00
1.612653017000000000e+09,3.700000000000000178e+00
1.612663040000000000e+09,3.299999999999999822e+00
1.612724271000000000e+09,3.410000000000000142e+00
1.612731145000000000e+09,3.700000000000000178e+00
1.612745133000000000e+09,3.220000000000000195e+00
1.612771212000000000e+09,3.450000000000000178e+00
1.612780027000000000e+09,3.399999999999999911e+00
1.612780769000000000e+09,3.799999999999999822e+00
1.612792391000000000e+09,3.700000000000000178e+00
1.612797342000000000e+09,3.799999999999999822e+00
1.612828182000000000e+09,3.299999999999999822e+00
1.612848857000000000e+09,3.470000000000000195e+00
1.612862473000000000e+09,3.700000000000000178e+00
1.612918875000000000e+09,3.819999999999999840e+00
1.612918901000000000e+09,3.200000000000000178e+00
1.612920429000000000e+09,3.759999999999999787e+00
1.612932132000000000e+09,3.069999999999999840e+00
1.613002034000000000e+09,3.700000000000000178e+00
1.613065929000000000e+09,3.100000000000000089e+00
1.613083933000000000e+09,3.100000000000000089e+00
1.613086186000000000e+09,3.100000000000000089e+00
1.613174233000000000e+09,4.030000000000000249e+00
1.613282079000000000e+09,3.200000000000000178e+00
1.613303870000000000e+09,3.689999999999999947e+00
1.613325103000000000e+09,4.299999999999999822e+00
1.613326139000000000e+09,3.100000000000000089e+00
1.613346154000000000e+09,3.600000000000000089e+00
1.613372513000000000e+09,3.899999999999999911e+00
1.613381324000000000e+09,3.500000000000000000e+00
1.613505882000000000e+09,3.100000000000000089e+00
